transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank,trade_rationale
3f98736e,2026-03-25T09:18:32,FANG,BUY,50,193.59,9679.5,183.91,222.63,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Highest price_momentum score (97) on the entire watchlist \u2014 this is THE momentum leader. Value_timing is low (46) which is a concern, but for a pure momentum scalper, the price_momentum signal is king. Energy sector showing strength with XOM and CVX also posting high momentum. Breakout candidate with strong trend continuation potential. Tight 5% stop at ~$187, targeting 15% upside."", ""quant_reason"": ""Highest price_momentum score (97) on the entire watchlist \u2014 this is THE momentum leader. Value_timing is low (46) which is a concern, but for a pure momentum scalper, the price_momentum signal is king. Energy sector showing strength with XOM and CVX also posting high momentum. Breakout candidate with strong trend continuation potential. Tight 5% stop at ~$187, targeting 15% upside."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
34c266d3,2026-03-25T09:18:32,XOM,BUY,60,163.41,9804.6,155.24,183.86,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Second highest price_momentum (89) with decent volume (62). Energy sector momentum cluster is notable \u2014 when a sector moves together it confirms the trend. Solid volatility score (67) suggests tradeable range. 5% stop, ~12.5% target. Multi-timeframe momentum alignment with sector peers."", ""quant_reason"": ""Second highest price_momentum (89) with decent volume (62). Energy sector momentum cluster is notable \u2014 when a sector moves together it confirms the trend. Solid volatility score (67) suggests tradeable range. 5% stop, ~12.5% target. Multi-timeframe momentum alignment with sector peers."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
92a7469d,2026-03-25T09:18:32,CVX,BUY,48,203.81,9783.11,193.62,231.31,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Third highest price_momentum (91) \u2014 completing the energy momentum trifecta. Volume at 65 provides confirmation. The three energy names together create a sector momentum bet which is exactly how breakouts cluster. 5% stop, ~13.5% target."", ""quant_reason"": ""Third highest price_momentum (91) \u2014 completing the energy momentum trifecta. Volume at 65 provides confirmation. The three energy names together create a sector momentum bet which is exactly how breakouts cluster. 5% stop, ~13.5% target."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
67c115e6,2026-03-25T09:18:32,DTM,BUY,70,141.65,9915.5,134.57,162.9,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Top overall quant score (70) with strong price_momentum (71), excellent value_timing (95), and volume confirmation (74). This is the best multi-factor alignment on the list \u2014 momentum WITH value_timing support is the exact stress test we're running. Energy sector tailwind. 5% stop, ~15% target."", ""quant_reason"": ""Top overall quant score (70) with strong price_momentum (71), excellent value_timing (95), and volume confirmation (74). This is the best multi-factor alignment on the list \u2014 momentum WITH value_timing support is the exact stress test we're running. Energy sector tailwind. 5% stop, ~15% target."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
b57a4cd2,2026-03-25T09:18:32,EXAS,BUY,47,104.91,4930.77,99.66,119.6,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Exceptional volume score (96) and volatility score (96) \u2014 this stock is MOVING and has institutional participation. Price_momentum at 63 is above average. Healthcare provides sector diversification from the energy cluster. High volume + high volatility = ideal scalp setup when momentum is positive. 5% stop, ~14% target."", ""quant_reason"": ""Exceptional volume score (96) and volatility score (96) \u2014 this stock is MOVING and has institutional participation. Price_momentum at 63 is above average. Healthcare provides sector diversification from the energy cluster. High volume + high volatility = ideal scalp setup when momentum is positive. 5% stop, ~14% target."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
471d8bad,2026-03-25T09:18:32,CMCSA,BUY,336,29.56,9932.4,28.08,33.99,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Volume score of 96 is exceptional \u2014 massive institutional flow. Price_momentum at 50 is neutral which is acceptable for a consolidation breakout setup. Low price allows meaningful position sizing. This is a volume-driven breakout play. 5% stop, 15% target."", ""quant_reason"": ""Volume score of 96 is exceptional \u2014 massive institutional flow. Price_momentum at 50 is neutral which is acceptable for a consolidation breakout setup. Low price allows meaningful position sizing. This is a volume-driven breakout play. 5% stop, 15% target."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
a8b364aa,2026-03-25T10:32:14,DTM,SELL,70,136.96,9587.2,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Down -3.3% and very close to its stop at $134.57 \u2014 only ~1.2% from stop trigger. This position is not showing the momentum behavior we need within our 5-7 day window. Price is moving against us and the risk/reward from here is skewed negative. Cutting early to redeploy capital into stronger setups and reduce Energy overconcentration from 39.2%."", ""quant_reason"": ""Down -3.3% and very close to its stop at $134.57 \u2014 only ~1.2% from stop trigger. This position is not showing the momentum behavior we need within our 5-7 day window. Price is moving against us and the risk/reward from here is skewed negative. Cutting early to redeploy capital into stronger setups and reduce Energy overconcentration from 39.2%."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
e3b8cb19,2026-03-25T10:32:14,EQT,BUY,142,66.62,9460.04,63.29,76.36,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Highest price_momentum score (86) on the entire watchlist - this is the core signal for our momentum scalping strategy. Energy sector alignment with existing positions shows sector-wide momentum. Volume at 58 is adequate. 5% stop, ~14.6% target. Revenue growth +26.9% provides fundamental tailwind though we're trading the momentum, not the story."", ""quant_reason"": ""Highest price_momentum score (86) on the entire watchlist - this is the core signal for our momentum scalping strategy. Energy sector alignment with existing positions shows sector-wide momentum. Volume at 58 is adequate. 5% stop, ~14.6% target. Revenue growth +26.9% provides fundamental tailwind though we're trading the momentum, not the story."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
75d83081,2026-03-25T10:32:14,FAST,BUY,140,44.77,6267.8,42.54,51.08,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Price_momentum=61, value_timing=81, volume=66 - the volume score is one of the highest on the list, critical for breakout confirmation. Industrials sector adds diversification away from heavy Energy concentration. Tight 5% stop, ~14% target. Solid momentum-volume alignment for a scalp entry."", ""quant_reason"": ""Price_momentum=61, value_timing=81, volume=66 - the volume score is one of the highest on the list, critical for breakout confirmation. Industrials sector adds diversification away from heavy Energy concentration. Tight 5% stop, ~14% target. Solid momentum-volume alignment for a scalp entry."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
3edcb9d9,2026-03-25T10:32:14,JNJ,BUY,27,239.14,6456.78,227.18,274.01,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Value_timing=93 is near the top of the list, price_momentum=60 is respectable, volatility=80 suggests recent range expansion which often precedes breakouts. Healthcare sector diversifies away from Energy overweight. Low P/E of 21.7 with strong ROE provides downside cushion. 5% stop, ~14.6% target."", ""quant_reason"": ""Value_timing=93 is near the top of the list, price_momentum=60 is respectable, volatility=80 suggests recent range expansion which often precedes breakouts. Healthcare sector diversifies away from Energy overweight. Low P/E of 21.7 with strong ROE provides downside cushion. 5% stop, ~14.6% target."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
11da2c6c,2026-03-25T11:54:13,CMCSA,SELL,336,28.73,9651.6,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Down -2.6% and the only position in the red. Communication Services is not showing momentum alignment. This is approaching our stop at $28.08 \u2014 proactively cutting before the stop triggers. Strategy DNA says cut positions that aren't moving in our favor. Free up ~$9,400 in capital for higher-conviction momentum plays."", ""quant_reason"": ""Down -2.6% and the only position in the red. Communication Services is not showing momentum alignment. This is approaching our stop at $28.08 \u2014 proactively cutting before the stop triggers. Strategy DNA says cut positions that aren't moving in our favor. Free up ~$9,400 in capital for higher-conviction momentum plays."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
9d4ca79f,2026-03-25T11:54:13,DTM,BUY,35,136.14,4764.9,129.33,156.56,SIGNAL,SIDEWAYS,0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Highest quant score at 70/100 with strong price_momentum=71 (best on the list), excellent value_timing=95, and solid volume=74. Energy sector momentum aligns with our existing energy thesis that's working (all energy positions in green). Breakout candidate with volume confirmation. 5% stop, ~15% target."", ""quant_reason"": ""Highest quant score at 70/100 with strong price_momentum=71 (best on the list), excellent value_timing=95, and solid volume=74. Energy sector momentum aligns with our existing energy thesis that's working (all energy positions in green). Breakout candidate with volume confirmation. 5% stop, ~15% target."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
1aef11ab,2026-03-25T11:54:13,BMY,BUY,80,59.13,4730.4,56.17,67.91,SIGNAL,SIDEWAYS,0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Score 65/100 with value_timing=92 and volume=72 indicating accumulation. Price_momentum=55 is moderate but the value_timing signal suggests a breakout setup from consolidation. Healthcare diversification helps reduce energy concentration. 5% stop, ~15% target."", ""quant_reason"": ""Score 65/100 with value_timing=92 and volume=72 indicating accumulation. Price_momentum=55 is moderate but the value_timing signal suggests a breakout setup from consolidation. Healthcare diversification helps reduce energy concentration. 5% stop, ~15% target."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
d358eb96,2026-03-25T11:54:13,WMT,BUY,39,122.68,4784.52,116.55,141.08,SIGNAL,SIDEWAYS,0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Score 60/100 with price_momentum=55 and volume=62 showing buying interest. Consumer defensive adds sector diversification. Steady momentum with relatively low volatility=67 makes for a cleaner breakout play. 5% stop, ~15% target."", ""quant_reason"": ""Score 60/100 with price_momentum=55 and volume=62 showing buying interest. Consumer defensive adds sector diversification. Steady momentum with relatively low volatility=67 makes for a cleaner breakout play. 5% stop, ~15% target."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
0a09e37c,2026-03-25T11:54:13,GILD,BUY,44,139.79,6150.76,132.8,160.76,SIGNAL,SIDEWAYS,0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Price_momentum=53 with volume=57 and value_timing=65. Healthcare name with strong gross margins and reasonable P/E=20.6. Adds diversification away from heavy energy weighting. Moderate conviction, smaller position. 5% stop, ~15% target."", ""quant_reason"": ""Price_momentum=53 with volume=57 and value_timing=65. Healthcare name with strong gross margins and reasonable P/E=20.6. Adds diversification away from heavy energy weighting. Moderate conviction, smaller position. 5% stop, ~15% target."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
