transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank,trade_rationale
a1c76836,2026-03-19,GLRE,BUY,61000,16.24,990640.0,15.3,17.85,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Highest price momentum (91) combined with perfect volume score (100). Strong rev growth +39.7%, low P/E of 7.5, zero debt. Financial services with strong fundamentals and momentum \u2014 ideal for a 2-day swing. Volume score of 100 means liquidity is there for quick entry/exit."", ""quant_reason"": ""Highest price momentum (91) combined with perfect volume score (100). Strong rev growth +39.7%, low P/E of 7.5, zero debt. Financial services with strong fundamentals and momentum \u2014 ideal for a 2-day swing. Volume score of 100 means liquidity is there for quick entry/exit."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
b0be6d34,2026-03-19,GLNG,BUY,17905,51.23,917273.15,48.66,55.84,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Near-perfect price momentum (98) with strong volume (72). Revenue growth of +101.5% is explosive. Energy sector with massive momentum \u2014 this is a rocket in motion. 2-day hold riding the momentum wave."", ""quant_reason"": ""Near-perfect price momentum (98) with strong volume (72). Revenue growth of +101.5% is explosive. Energy sector with massive momentum \u2014 this is a rocket in motion. 2-day hold riding the momentum wave."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
7c259622,2026-03-19,GASS,BUY,80000,9.45,756000.0,8.85,10.4,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Price momentum 95, value_timing 86, P/E of only 5.8 with zero debt. Small price stock with strong momentum signals \u2014 these tend to have outsized short-term moves. High conviction momentum play."", ""quant_reason"": ""Price momentum 95, value_timing 86, P/E of only 5.8 with zero debt. Small price stock with strong momentum signals \u2014 these tend to have outsized short-term moves. High conviction momentum play."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
95cd0cd6,2026-03-19,WDS,BUY,20056,24.92,499795.52,22.38,28.48,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Price momentum 99, volume 100 \u2014 maximum momentum and liquidity scores. Ultra-low price means high percentage move potential in 2 days. This is pure momentum speculation with the best momentum/volume combo on the list."", ""quant_reason"": ""Price momentum 99, volume 100 \u2014 maximum momentum and liquidity scores. Ultra-low price means high percentage move potential in 2 days. This is pure momentum speculation with the best momentum/volume combo on the list."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
9f42e37f,2026-03-19,SOBO,BUY,18198,33.58,611088.84,31.8,36.55,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Price momentum 98 \u2014 among the highest. Energy sector riding momentum. Rev growth positive, decent margins. Parabolic momentum stocks tend to continue short-term."", ""quant_reason"": ""Price momentum 98 \u2014 among the highest. Energy sector riding momentum. Rev growth positive, decent margins. Parabolic momentum stocks tend to continue short-term."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
e7ed95d6,2026-03-19,LXU,BUY,34016,14.64,497994.24,13.23,16.76,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Price momentum 99 \u2014 the highest available. Low price with value_timing 85. Revenue growth +22.3%. Micro-price stocks with max momentum scores can deliver explosive 2-day returns."", ""quant_reason"": ""Price momentum 99 \u2014 the highest available. Low price with value_timing 85. Revenue growth +22.3%. Micro-price stocks with max momentum scores can deliver explosive 2-day returns."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
e076a7c0,2026-03-25T10:45:38,GASS,SELL,80000,9.25,740000.0,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""GASS is the only position currently underwater (-2.1%) and showing no momentum. With only 2 days to maximize returns, capital tied up in a losing position is a drag. Selling frees up ~$724K but more importantly removes downside risk from a weak name. However, since we need to deploy cash into higher-momentum plays and GASS stop is tight at $8.85, the risk/reward is poor for a 2-day window."", ""quant_reason"": ""GASS is the only position currently underwater (-2.1%) and showing no momentum. With only 2 days to maximize returns, capital tied up in a losing position is a drag. Selling frees up ~$724K but more importantly removes downside risk from a weak name. However, since we need to deploy cash into higher-momentum plays and GASS stop is tight at $8.85, the risk/reward is poor for a 2-day window."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
d3d07adb,2026-03-25T10:45:38,FLNG,BUY,5593,30.38,169887.38,28.66,32.94,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Highest quant score (70) with exceptional price momentum (95) and strong value_timing (80). Energy sector alignment with existing portfolio theme. Shipping/LNG names have been running hot. 74.9% gross margin provides operating leverage. Targeting a quick 8%+ move in 2 days on momentum continuation."", ""quant_reason"": ""Highest quant score (70) with exceptional price momentum (95) and strong value_timing (80). Energy sector alignment with existing portfolio theme. Shipping/LNG names have been running hot. 74.9% gross margin provides operating leverage. Targeting a quick 8%+ move in 2 days on momentum continuation."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
bdd3185f,2026-03-25T10:45:38,CRC,BUY,2797,65.4,182923.8,62.07,70.58,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Price momentum score of 92 is elite, P/E of 15.7 is reasonable for energy. Strong ROE at 10.1%. Momentum names tend to continue short-term. California Resources has been on a tear and energy sector momentum is strong. Targeting 8% upside in 2 days."", ""quant_reason"": ""Price momentum score of 92 is elite, P/E of 15.7 is reasonable for energy. Strong ROE at 10.1%. Momentum names tend to continue short-term. California Resources has been on a tear and energy sector momentum is strong. Targeting 8% upside in 2 days."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
4134064b,2026-03-25T10:45:38,IPI,BUY,2666,42.34,112878.44,39.99,46.07,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Price momentum of 98 is near-maximum, value_timing at 83. Intrepid Potash with 33.9% revenue growth. Extreme momentum play for 2-day window. Low D/E of 1.1 means minimal financial risk. Targeting quick 8-9% pop on momentum continuation."", ""quant_reason"": ""Price momentum of 98 is near-maximum, value_timing at 83. Intrepid Potash with 33.9% revenue growth. Extreme momentum play for 2-day window. Low D/E of 1.1 means minimal financial risk. Targeting quick 8-9% pop on momentum continuation."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
