transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank,trade_rationale
e42020d5,2026-03-11,VISN,BUY,5630,17.76,99988.8,13.5,26.5,SIGNAL,SIDEWAYS,0.0,{},,
d803d8de,2026-03-11,AEIS,BUY,317,314.84,99804.28,250.86,436.89,SIGNAL,SIDEWAYS,0.0,{},,
8f5dce2a,2026-03-11,SMTC,BUY,1165,85.82,99980.3,66.59,119.53,SIGNAL,SIDEWAYS,0.0,{},,
2eeeb678,2026-03-11,CRUS,BUY,740,135.38,100181.2,112.0,170.0,SIGNAL,SIDEWAYS,0.0,{},,
343c7f06,2026-03-11,FORM,BUY,1088,91.82,99900.16,70.12,123.75,SIGNAL,SIDEWAYS,0.0,{},,
b428f180,2026-03-11,ST,BUY,2823,35.38,99877.74,27.95,45.74,SIGNAL,SIDEWAYS,0.0,{},,
ae93cb8b,2026-03-11,ENS,BUY,616,162.23,99933.68,135.0,200.0,SIGNAL,SIDEWAYS,0.0,{},,
fd595160,2026-03-17,CRUS,SELL,740,135.57,100321.8,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Cirrus Logic is primarily a consumer audio codec company with heavy Apple iPhone revenue dependency. While technically a semiconductor, it has minimal defense/autonomous systems exposure. The position is essentially flat (+0.1%) offering a clean exit. Reallocating this ~$100K into names with direct defense tech alignment improves portfolio coherence with the strategy DNA. Consumer electronics cycle risk is not the structural tailwind we're seeking."", ""quant_reason"": ""Cirrus Logic is primarily a consumer audio codec company with heavy Apple iPhone revenue dependency. While technically a semiconductor, it has minimal defense/autonomous systems exposure. The position is essentially flat (+0.1%) offering a clean exit. Reallocating this ~$100K into names with direct defense tech alignment improves portfolio coherence with the strategy DNA. Consumer electronics cycle risk is not the structural tailwind we're seeking."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
e9e2c101,2026-03-17,ST,SELL,2823,34.54,97506.42,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Sensata Technologies has broad industrial sensor exposure but is heavily weighted toward automotive and general industrial end markets, not defense/autonomous systems specifically. Position is down -2.4% and the company faces headwinds from auto production uncertainty. Freeing up ~$97K to redeploy into purer defense tech plays strengthens the portfolio's alignment with the geopolitically-mandated spending thesis."", ""quant_reason"": ""Sensata Technologies has broad industrial sensor exposure but is heavily weighted toward automotive and general industrial end markets, not defense/autonomous systems specifically. Position is down -2.4% and the company faces headwinds from auto production uncertainty. Freeing up ~$97K to redeploy into purer defense tech plays strengthens the portfolio's alignment with the geopolitically-mandated spending thesis."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
5432104b,2026-03-17,VICR,BUY,258,190.0,49020.0,150.85,271.53,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Vicor is a direct play on the power conversion and power delivery modules critical for next-gen defense electronics, radar systems, drones, and EW platforms. Their high-density power modules are used in military/aerospace applications where size, weight, and power (SWaP) constraints are paramount. Price momentum score of 99 confirms strong institutional accumulation. The stock fits squarely in the sensor fusion / hardware enablement layer of defense tech. Value_timing at 86 suggests favorable en"", ""quant_reason"": ""Vicor is a direct play on the power conversion and power delivery modules critical for next-gen defense electronics, radar systems, drones, and EW platforms. Their high-density power modules are used in military/aerospace applications where size, weight, and power (SWaP) constraints are paramount. Price momentum score of 99 confirms strong institutional accumulation. The stock fits squarely in the sensor fusion / hardware enablement layer of defense tech. Value_timing at 86 suggests favorable entry. This is a high-conviction position aligned with the strategy DNA \u2014 the power architecture layer that makes autonomous systems and advanced military hardware actually function."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
e0cc8baa,2026-03-17,STRL,BUY,69,422.0,29118.0,342.1,563.46,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Sterling Infrastructure has a growing data infrastructure and e-infrastructure segment that supports defense and technology facility buildout \u2014 the physical layer that defense tech and AI convergence requires. Strong value_timing of 94 and decent momentum at 68. Their specialized construction capabilities are increasingly tied to mission-critical government and defense infrastructure projects. This diversifies the portfolio into the physical infrastructure backbone that supports the defense tech"", ""quant_reason"": ""Sterling Infrastructure has a growing data infrastructure and e-infrastructure segment that supports defense and technology facility buildout \u2014 the physical layer that defense tech and AI convergence requires. Strong value_timing of 94 and decent momentum at 68. Their specialized construction capabilities are increasingly tied to mission-critical government and defense infrastructure projects. This diversifies the portfolio into the physical infrastructure backbone that supports the defense tech thesis."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
5965930f,2026-03-17,UNF,BUY,115,274.25,31538.75,229.76,339.64,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""UniFirst provides uniform and facility services to defense contractors and industrial facilities. Volume score of 100 is exceptional, momentum at 89 is strong. While not a pure defense play, it's a picks-and-shovels beneficiary of the defense manufacturing ramp \u2014 as production facilities scale up to meet NATO spending targets, service providers like UNF see predictable, long-duration revenue growth. Low volatility (26) adds portfolio stability."", ""quant_reason"": ""UniFirst provides uniform and facility services to defense contractors and industrial facilities. Volume score of 100 is exceptional, momentum at 89 is strong. While not a pure defense play, it's a picks-and-shovels beneficiary of the defense manufacturing ramp \u2014 as production facilities scale up to meet NATO spending targets, service providers like UNF see predictable, long-duration revenue growth. Low volatility (26) adds portfolio stability."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
9a98a6a4,2026-03-19,SMTC,SELL,1165,79.0,92035.0,,,STOP_LOSS,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 1.0, ""ai_reasoning"": ""Layer 1 mechanical sell \u2014 stop/target/quality trigger"", ""quant_reason"": ""STOP LOSS (regime) triggered: $79.00 <= $79.81"", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
90acb5e2,2026-03-19,UNF,SELL,115,265.5,30532.5,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""UniFirst is a uniform and workwear rental company with no meaningful connection to defense tech, autonomous systems, or the AI/military convergence thesis. It's down 3.2% and consuming a 3% allocation that would be better deployed into strategy-aligned positions. Removing this frees ~$30.5K and sharpens portfolio focus."", ""quant_reason"": ""UniFirst is a uniform and workwear rental company with no meaningful connection to defense tech, autonomous systems, or the AI/military convergence thesis. It's down 3.2% and consuming a 3% allocation that would be better deployed into strategy-aligned positions. Removing this frees ~$30.5K and sharpens portfolio focus."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
cfe3f90b,2026-03-19,ENS,SELL,616,168.0,103488.0,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""EnerSys makes industrial batteries \u2014 while it has some defense adjacency through military battery packs, the core business is industrial/telecom power. At 10.3% weight it's an outsized bet on a tangential player. Selling frees ~$103.5K for redeployment into higher-conviction defense tech names. The P&L is +3.6% so we lock in a modest gain."", ""quant_reason"": ""EnerSys makes industrial batteries \u2014 while it has some defense adjacency through military battery packs, the core business is industrial/telecom power. At 10.3% weight it's an outsized bet on a tangential player. Selling frees ~$103.5K for redeployment into higher-conviction defense tech names. The P&L is +3.6% so we lock in a modest gain."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
