transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank,trade_rationale
df45f903,2026-03-29T15:41:02,TERN,BUY,380,52.92,20109.6,47.63,74.09,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Strongest candidate on the list: momentum=99, volume=100 \u2014 textbook institutional accumulation ahead of an earnings catalyst. Healthcare biotech with extreme volume surge suggests smart money positioning. RSI isn't provided directly but momentum/volume profile fits the pre-earnings accumulation pattern perfectly. Sizing at ~8% given bear regime warrants slight caution, but this is the highest-conviction setup on the board."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
4f97bae9,2026-03-29T15:41:02,XOM,BUY,119,171.3,20384.7,154.17,239.82,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Strong momentum=90 in a defensive energy name during a bear regime. Volume=48 is below our 70 threshold which is a concern, but energy has been a relative strength leader and XOM is a mega-cap with solid fundamentals (P/E=25.5, ROE=11.1%). Earnings season catalyst with momentum confirmation. Sizing slightly below standard given volume score miss."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
f62b4308,2026-03-29T15:41:02,FANG,BUY,99,202.1,20007.9,181.89,282.94,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Highest momentum score at 94 among energy names. Gross margin of 73% is excellent for an E&P company. Volume=40 is weak \u2014 the main knock \u2014 but the momentum profile is strong and it pairs well with XOM for energy sector exposure into earnings. P/E=35.2 is elevated but momentum strategies ride the wave. Smaller position to account for volume concern."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
7e8f3290,2026-03-29T15:41:02,CVX,BUY,94,211.7,19899.8,190.54,296.38,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Momentum=90, volatility=71 (highest of the group \u2014 favorable for post-earnings moves). Energy trio diversification with XOM and FANG. Volume=43 is again below ideal but the momentum and volatility profile suggest a potential big post-earnings move. Solid balance sheet mega-cap that provides portfolio stability in a bear regime."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
6d85dfa5,2026-03-30T09:43:24,CORT,BUY,511,38.96,19908.56,35.06,54.54,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Best pre-earnings momentum candidate on the watchlist. Momentum score 87 and volume score 95 are exactly what this strategy targets \u2014 institutions are clearly accumulating ahead of a print. RSI-equivalent momentum is strong but not blown out. Healthcare sector diversifies away from Energy concentration. Gross margin 98.3% shows a high-quality biotech/specialty pharma business. The only concern is volatility score of 0, but the volume and momentum conviction override that."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
071bf623,2026-03-30T09:43:24,PEP,BUY,129,154.67,19952.43,139.2,216.54,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Highest overall quant score at 61. Value_timing score of 92 is exceptional \u2014 the stock is positioned well for a catalyst. Momentum at 52 is moderate but acceptable in a bear regime where you want stability. Consumer Defensive adds crucial sector diversification. Low volatility score of 72 and solid fundamentals (54.5% gross margin, 5.6% rev growth, reasonable P/E of 25.8) make this a safer earnings play in a weak market. Volume at 40 is below our ideal threshold but the value timing compensates."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
172d9559,2026-03-30T09:43:24,CELC,BUY,188,106.73,20065.24,96.06,149.42,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Momentum score 56 is acceptable, volume score 51 shows some institutional interest building. Healthcare sector adds to diversification. The value_timing at 65 is decent. This is a moderate-conviction play sized at the lower end. The negative ROE and high D/E are concerning but this is a pre-earnings momentum trade, not a long-term hold."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
7a435638,2026-03-30T09:43:24,NBIX,BUY,155,129.11,20012.05,116.2,180.75,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Value_timing score of 84 is strong, indicating the stock is well-positioned for an earnings catalyst. Revenue growth of 28.3% is excellent. Momentum at 47 is at the lower edge of our acceptable range but combined with healthcare diversification and solid fundamentals (62.7% gross margin, P/E 27.6), this is a reasonable pre-earnings setup. Volume at 40 is below ideal but the growth trajectory supports accumulation."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
fff217f8,2026-03-30T09:43:24,JPM,BUY,70,285.58,19990.6,257.02,399.81,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Financial Services diversification is critical \u2014 we're overweight Energy. Value_timing at 74 is solid for a bank heading into earnings. P/E of 14.2 is cheap. Momentum at 35 is below our ideal 75 threshold, but in a bear regime mega-cap financials with low P/E offer a defensive earnings play. Bank earnings season is a known catalyst window."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
276a4725,2026-04-01T21:19:29,XOM,SELL,119,159.5,18980.49,,,STOP_LOSS,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 1.0, ""ai_reasoning"": ""Stop loss triggered under bear regime tightening rules. XOM dropped 6.9% in 3 days as crude oil weakness accelerated. Energy sector is getting hammered by tariff/demand concerns. The regime-adjusted stop at $161.02 was breached \u2014 this protects capital from further energy sector deterioration. Frees cash for better pre-earnings setups."", ""quant_reason"": ""STOP LOSS (regime) triggered: $159.50 <= $161.02"", ""regime"": ""BEAR"", ""top_factors"": []}"
