transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank,trade_rationale
3ba5fc56,2026-03-24,NEXT,BUY,335,7.12,2385.2,6.62,35.6,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Perfect strategy DNA fit: price_momentum=98, volume=100 \u2014 this is a violent breakout on massive volume in the energy sector. Small price, likely small float, undergoing a re-rating. The momentum and volume scores are off the charts, signaling the exact confirmed breakout above resistance on 3x+ average volume that our strategy demands. Energy/critical minerals play aligns with nuclear renaissance thesis. Low value_timing score means the crowd hasn't caught on yet from a valuation standpoint \u2014 we"", ""quant_reason"": ""Perfect strategy DNA fit: price_momentum=98, volume=100 \u2014 this is a violent breakout on massive volume in the energy sector. Small price, likely small float, undergoing a re-rating. The momentum and volume scores are off the charts, signaling the exact confirmed breakout above resistance on 3x+ average volume that our strategy demands. Energy/critical minerals play aligns with nuclear renaissance thesis. Low value_timing score means the crowd hasn't caught on yet from a valuation standpoint \u2014 we don't care about valuation, we care about momentum and catalyst. Let it run to 5x or stop out at 7%."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
cbcfefba,2026-03-24,NUVB,BUY,464,4.29,1990.56,3.98,21.45,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Clinical-stage biotech with binary catalyst profile. Rev growth of +633% signals a fundamental inflection \u2014 potential first meaningful revenue quarter. Price_momentum=76 is strong. At $0.83 this is a micro-cap with tiny float characteristics \u2014 exactly the violent re-rating setup we hunt. ROE=-53% confirms pre-profitability biotech burning cash toward a catalyst. The 85% gross margin on emerging revenue suggests real product traction. Sized for asymmetric payoff: 5x or stop at 7%."", ""quant_reason"": ""Clinical-stage biotech with binary catalyst profile. Rev growth of +633% signals a fundamental inflection \u2014 potential first meaningful revenue quarter. Price_momentum=76 is strong. At $0.83 this is a micro-cap with tiny float characteristics \u2014 exactly the violent re-rating setup we hunt. ROE=-53% confirms pre-profitability biotech burning cash toward a catalyst. The 85% gross margin on emerging revenue suggests real product traction. Sized for asymmetric payoff: 5x or stop at 7%."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
132dd93d,2026-03-24,RCKT,BUY,553,4.32,2389.02,4.02,21.6,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Clinical-stage biotech (Rocket Pharmaceuticals) \u2014 gene therapy pipeline with potential binary FDA catalysts within 90 days. Price_momentum=66 with volatility=82 gives us the explosive movement profile we need. ROE=-60% confirms heavy R&D spend typical of late-stage gene therapy companies approaching regulatory decisions. This is a pure binary catalyst play \u2014 approval/data readout could send this 5x, rejection hits our 7% stop."", ""quant_reason"": ""Clinical-stage biotech (Rocket Pharmaceuticals) \u2014 gene therapy pipeline with potential binary FDA catalysts within 90 days. Price_momentum=66 with volatility=82 gives us the explosive movement profile we need. ROE=-60% confirms heavy R&D spend typical of late-stage gene therapy companies approaching regulatory decisions. This is a pure binary catalyst play \u2014 approval/data readout could send this 5x, rejection hits our 7% stop."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
6a2ccaed,2026-03-24,CEVA,BUY,116,19.0,2204.0,17.64,95.0,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Small-cap tech with price_momentum=71 and strong value_timing=79. Revenue growing +7.1% with 87% gross margins \u2014 this is an IP licensing/semiconductor design company, potentially defense-tech adjacent. The high gross margin suggests an asset-light model where any revenue inflection drops straight to the bottom line. Momentum is building. Fits the small-float dislocation hunter profile with potential for violent re-rating on any contract announcement."", ""quant_reason"": ""Small-cap tech with price_momentum=71 and strong value_timing=79. Revenue growing +7.1% with 87% gross margins \u2014 this is an IP licensing/semiconductor design company, potentially defense-tech adjacent. The high gross margin suggests an asset-light model where any revenue inflection drops straight to the bottom line. Momentum is building. Fits the small-float dislocation hunter profile with potential for violent re-rating on any contract announcement."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
733e837b,2026-03-25T10:37:23,WTI,BUY,174,2.85,496.77,2.66,14.18,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""WTI (W&T Offshore) is a small-cap energy name with a price_momentum score of 97/100 \u2014 the highest on the entire watchlist \u2014 and strong value_timing at 90. At $3.02 it's a micro-priced energy play that fits our mandate for small-float stocks undergoing violent re-ratings. Rev growth is modest but positive, gross margin at 35% is respectable for E&P. The extreme momentum score suggests a breakout pattern is forming. This is a critical minerals/energy play riding the commodity supercycle narrative."", ""quant_reason"": ""WTI (W&T Offshore) is a small-cap energy name with a price_momentum score of 97/100 \u2014 the highest on the entire watchlist \u2014 and strong value_timing at 90. At $3.02 it's a micro-priced energy play that fits our mandate for small-float stocks undergoing violent re-ratings. Rev growth is modest but positive, gross margin at 35% is respectable for E&P. The extreme momentum score suggests a breakout pattern is forming. This is a critical minerals/energy play riding the commodity supercycle narrative. Stop is tight at ~7% below entry. Target is asymmetric 5x given the momentum setup."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
1dc51f70,2026-03-25T10:37:23,RES,BUY,73,7.02,512.46,6.53,34.46,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""RPC Inc (RES) has the second-highest price_momentum at 98/100, with 27% revenue growth \u2014 the strongest top-line growth among energy candidates. At $7.13 it's a low-priced oilfield services name that fits our small-cap, high-momentum mandate. The stock appears to be in a breakout phase. Low D/E of 7.0 means minimal balance sheet risk. Stop at ~7% below entry. The 5x target reflects the asymmetric payoff we seek from momentum-driven re-ratings in energy services."", ""quant_reason"": ""RPC Inc (RES) has the second-highest price_momentum at 98/100, with 27% revenue growth \u2014 the strongest top-line growth among energy candidates. At $7.13 it's a low-priced oilfield services name that fits our small-cap, high-momentum mandate. The stock appears to be in a breakout phase. Low D/E of 7.0 means minimal balance sheet risk. Stop at ~7% below entry. The 5x target reflects the asymmetric payoff we seek from momentum-driven re-ratings in energy services."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
97e88fd6,2026-03-27T09:38:50,RCKT,SELL,553,4.36,2408.32,,,STOP_LOSS,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 1.0, ""ai_reasoning"": ""Layer 1 mechanical sell \u2014 stop/target/quality trigger"", ""quant_reason"": ""STOP LOSS (trailing) triggered: $4.37 <= $4.78"", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
629b0cd8,2026-03-27T09:38:50,ADMA,BUY,259,9.29,2406.11,8.63,46.45,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""ADMA is a clinical-stage/commercial biotech with explosive volume (volume score 100/100), 18.4% revenue growth, 57.4% gross margins, and 35.6% ROE \u2014 this is a company that has crossed into profitability (P/E 15.6) after years of losses, fitting our 'first profitable quarter' inflection thesis perfectly. The low quant score is driven by price_momentum=0 and volatility=12, suggesting a recent violent pullback from highs \u2014 exactly the kind of dislocation we hunt. The massive volume signal suggests "", ""quant_reason"": ""AI allocation"", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
b51c8149,2026-03-30T09:39:56,CEVA,SELL,116,18.15,2105.4,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 1.0, ""ai_reasoning"": ""3 consecutive closes below 5-day SMA after only 6 days held signals the breakout thesis has failed. CEVA was a semiconductor IP play but momentum faded immediately \u2014 the breakout wasn't confirmed by sustained buying. At -4.7% and trending down, this is exactly the kind of position the strategy demands we cut quickly. Frees $2,101 to redeploy into names with actual momentum."", ""quant_reason"": ""MOMENTUM FADE: 3 consecutive closes below 5-day SMA \u2014 trend reversing"", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
cbc3a18f,2026-03-30T09:39:56,ADMA,SELL,259,8.87,2298.11,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 1.0, ""ai_reasoning"": ""Momentum fade after just 3 days held \u2014 price couldn't sustain above the 5-day SMA, sitting at -4.0%. For a plasma-derived biotech that was supposed to be a catalyst play, losing momentum this early is a red flag. The breakout signal was false or premature. Better to take the small loss and preserve capital for a cleaner setup."", ""quant_reason"": ""MOMENTUM FADE: 3 consecutive closes below 5-day SMA \u2014 trend reversing"", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
