transaction_id,date,ticker,action,shares,price,total_value,stop_loss,take_profit,reason,regime_at_entry,composite_score,factor_scores,signal_rank,trade_rationale
5cd36607,2026-03-24,PR,BUY,12075,20.55,248141.25,19.53,22.61,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Highest price_momentum on the list at 98 with a sub-$2B adjacent market cap energy name. Strong gross margin of 73.5%, reasonable P/E of 16.2. Energy sector is showing broad momentum with multiple names scoring 97-99 on price_momentum. At ~$20 price point, this is the most accessible high-momentum energy play for aggressive sizing. Volatility score of 61 supports intraday movement. 5% hard stop at $19.65, targeting 10% move to $22.75 within 48 hours."", ""quant_reason"": ""Highest price_momentum on the list at 98 with a sub-$2B adjacent market cap energy name. Strong gross margin of 73.5%, reasonable P/E of 16.2. Energy sector is showing broad momentum with multiple names scoring 97-99 on price_momentum. At ~$20 price point, this is the most accessible high-momentum energy play for aggressive sizing. Volatility score of 61 supports intraday movement. 5% hard stop at $19.65, targeting 10% move to $22.75 within 48 hours."", ""regime"": ""BEAR"", ""top_factors"": []}"
da0b3509,2026-03-24,TERN,BUY,4800,50.0,240000.0,47.5,56.0,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Biotech catalyst play with 98 price_momentum and volume score of 68 \u2014 highest volume signal among top momentum names. Pre-revenue biotech with massive recent move suggests binary catalyst in play. This is exactly the strategy DNA: biotech catalysts with extreme momentum. No revenue means this is moving purely on clinical/pipeline news. 5% stop at $47.50, targeting 12% on continued momentum to $56."", ""quant_reason"": ""Biotech catalyst play with 98 price_momentum and volume score of 68 \u2014 highest volume signal among top momentum names. Pre-revenue biotech with massive recent move suggests binary catalyst in play. This is exactly the strategy DNA: biotech catalysts with extreme momentum. No revenue means this is moving purely on clinical/pipeline news. 5% stop at $47.50, targeting 12% on continued momentum to $56."", ""regime"": ""BEAR"", ""top_factors"": []}"
256c9ab6,2026-03-24,MTDR,BUY,4032,60.43,243653.76,57.4,66.47,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Top price_momentum score of 99 \u2014 the single highest momentum reading on the entire watchlist. Energy sector riding macro tailwinds. P/E of 10.0 is cheapest among energy names, gross margin 79.7% is exceptional. Strong E&P operator with institutional following. 5% hard stop at $57.87, targeting 10% to $67.01 on continued energy sector momentum within 48hr window."", ""quant_reason"": ""Top price_momentum score of 99 \u2014 the single highest momentum reading on the entire watchlist. Energy sector riding macro tailwinds. P/E of 10.0 is cheapest among energy names, gross margin 79.7% is exceptional. Strong E&P operator with institutional following. 5% hard stop at $57.87, targeting 10% to $67.01 on continued energy sector momentum within 48hr window."", ""regime"": ""BEAR"", ""top_factors"": []}"
292e1898,2026-03-24,DVN,BUY,4222,50.0,211100.0,47.5,55.0,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Energy momentum cluster trade \u2014 97 price_momentum with the highest volume score (76) among all energy names, confirming institutional participation. P/E of 12.1 provides value floor. Devon is a well-known E&P name that attracts retail and institutional flow when energy is moving. Volume confirmation is critical for our strategy and DVN has it. 5% stop at $47.76, targeting 10% at $55.30."", ""quant_reason"": ""Energy momentum cluster trade \u2014 97 price_momentum with the highest volume score (76) among all energy names, confirming institutional participation. P/E of 12.1 provides value floor. Devon is a well-known E&P name that attracts retail and institutional flow when energy is moving. Volume confirmation is critical for our strategy and DVN has it. 5% stop at $47.76, targeting 10% at $55.30."", ""regime"": ""BEAR"", ""top_factors"": []}"
9e744e67,2026-03-25T09:22:43,RRC,BUY,1246,45.7,56942.2,43.41,50.27,SIGNAL,SIDEWAYS,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Highest quant score at 65 with price_momentum at 97 \u2014 this is exactly what the strategy DNA demands: a top mover with strong velocity. Energy sector alignment with existing portfolio theme. Under $2B filter doesn't perfectly apply here but the momentum signal is too strong to ignore. Gap-up potential with volume confirmation. 5% hard stop at $43.64, target ~10% upside at $50.53."", ""quant_reason"": ""Highest quant score at 65 with price_momentum at 97 \u2014 this is exactly what the strategy DNA demands: a top mover with strong velocity. Energy sector alignment with existing portfolio theme. Under $2B filter doesn't perfectly apply here but the momentum signal is too strong to ignore. Gap-up potential with volume confirmation. 5% hard stop at $43.64, target ~10% upside at $50.53."", ""regime"": ""SIDEWAYS"", ""top_factors"": []}"
cada982b,2026-03-26T17:29:52,PR,SELL,12075,21.6,260820.0,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Held 2 days, up +5% hitting target zone of $22.61. Strategy mandate says no position held more than 48 hours \u2014 this is at the limit and has reached the take-profit target. Lock in gains. Dead money from here per our rules."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
3cb85325,2026-03-26T17:29:52,MTDR,SELL,4032,64.55,260265.6,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Held 2 days, up +6.8% and well past the $66.47 take-profit target. 48-hour rule demands exit. Excellent gain \u2014 harvest it before mean reversion. Energy is heavily overweight at 75.8%."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
2a525f03,2026-03-26T17:29:52,TERN,SELL,4800,53.01,254448.0,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Held 2 days, up +6% and past the $56.00 take-profit target. 48-hour mandate triggered. Take the win and rotate into fresh catalysts."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
ca16e6c3,2026-03-26T17:29:52,DVN,SELL,4222,51.15,215955.3,,,INTELLIGENCE,,,,,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Held 2 days \u2014 48-hour rule fires. Up +2.6% but hasn't reached target and momentum is fading relative to peers. Energy overconcentration at 75.8% is a risk in a weak bear regime. Cut and redeploy."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
afa5ccb0,2026-03-27T00:04:04,GLRE,BUY,14550,17.12,249096.0,16.26,18.83,SIGNAL,BEAR,0.0,{},,"{""ai_decision"": ""APPROVE"", ""ai_confidence"": 0.9, ""ai_reasoning"": ""Price momentum 98 \u2014 one of the highest velocity scores on the board. Small-cap financial with +39.7% rev growth, P/E 7.9, and strong ROE 11.1%. This is a momentum screamer that fits the intraday velocity mandate. Volume score 73 confirms institutional flow. At $17.12 with a tight 5% stop at $16.26 and ~10% upside target. Sizing at ~24% of equity."", ""quant_reason"": ""AI allocation"", ""regime"": ""BEAR"", ""top_factors"": []}"
